"""Identificador URL""";"Nome";"Categorias";"Nome da varia��o 1";"Valor da varia��o 1";"Nome da varia��o 2";"Valor da varia��o 2";"Nome da varia��o 3";"Valor da varia��o 3";"Pre�o";"Pre�o promocional";"Peso (kg)";"Altura (cm)";"Largura (cm)";"Comprimento (cm)";"Estoque";"SKU";"C�digo de barras";"Exibir na loja";"Frete gratis";"Descri��o";"Tags";"T�tulo para SEO";"Descri��o para SEO";"Marca";"Produto F�sico";"MPN (C�d. Exclusivo, Modelo Fabricante)";"Sexo";"Faixa et�ria";"Custo";"URL image"
"davines-oi-oil-50ml";"Davines Oi Oil - 50ml";;;;;;;;"265.00";;"0.05";"0.00";"0.00";"0.00";"5";"D01";;"SIM";"N�O";;;;;;"SIM";;;;;"https://raw.githubusercontent.com/caiogasparino/get-image-products/refs/heads/main/imagens/davines-oi-oil-50ml/1-oi-oil-0139c8e87e09a8d91017105998578558-1024-1024.webp"
"paul-mitchell-fast-drying-sculpting-spray-de-fixacao-250ml";"Paul Mitchell Fast Drying Sculpting Spray de Fixa��o 250ml";;;;;;;;"175.00";;"0.25";"0.00";"0.00";"0.00";"3";;;"SIM";"N�O";;;;;;"SIM";;;;;"https://raw.githubusercontent.com/caiogasparino/get-image-products/refs/heads/main/imagens/paul-mitchell-fast-drying-sculpting-spray-de-fixacao-250ml/1-captura-de-tela-2023-12-26-as-13-35-19-4e38e4f97b6cf9b78c17036085371633-1024-1024.webp"
"paul-mitchell-smoothing-super-skinny-serum-capilar-25ml";"Paul Mitchell Smoothing Super Skinny - S�rum Capilar 25ml";;;;;;;;"98.00";;"0.03";"0.00";"0.00";"0.00";"6";;;"SIM";"N�O";;;;;;"SIM";;;;;"https://raw.githubusercontent.com/caiogasparino/get-image-products/refs/heads/main/imagens/paul-mitchell-smoothing-super-skinny-serum-capilar-25ml/1-captura-de-tela-2023-12-26-as-13-26-57-27f2b7872f9c930f7e17036080962101-1024-1024.webp"
"wella-professionals-ultimate-repair-miracle-rescue-passo-3-leave-in-reparador-95ml";"Wella Professionals Ultimate Repair Miracle Rescue Passo 3 - Leave-in Reparador 95ml";;;;;;;;"159.00";;"0.10";"0.00";"0.00";"0.00";"2";;;"SIM";"N�O";;;;;;"SIM";;;;;"https://raw.githubusercontent.com/caiogasparino/get-image-products/refs/heads/main/imagens/wella-professionals-ultimate-repair-miracle-rescue-passo-3-leave-in-reparador-95ml/1-captura-de-tela-2023-12-01-as-16-48-29-b66c9e445a9771727317014601484955-1024-1024.webp"
"sebastian-professional-dark-oil-oleo-capilar-30ml1";"Sebastian Professional Dark Oil - �leo Capilar 30ml";;;;;;;;"71.00";;"0.05";"0.00";"0.00";"0.00";"2";;;"SIM";"N�O";;;;;;"SIM";;;;;"https://raw.githubusercontent.com/caiogasparino/get-image-products/refs/heads/main/imagens/sebastian-professional-dark-oil-oleo-capilar-30ml1/1-captura-de-tela-2023-12-01-as-16-38-56-34289cc40192849fb717014596847175-1024-1024.webp"
"wella-professional-ultimate-repair-shampoo-250ml";"Wella Professional Ultimate Repair - Shampoo 250ml";;;;;;;;"115.00";;"0.25";"0.00";"0.00";"0.00";"3";;;"SIM";"N�O";;;;;;"SIM";;;;;"https://raw.githubusercontent.com/caiogasparino/get-image-products/refs/heads/main/imagens/wella-professional-ultimate-repair-shampoo-250ml/1-captura-de-tela-2023-12-01-as-16-33-01-ed45eecfa4f2c67b4b17014592572566-1024-1024.webp"
"wella-professionals-invigo-sun-shampoo-250ml";"Wella Professionals Invigo Sun - Shampoo 250ml";;;;;;;;"64.00";;"0.25";"0.00";"0.00";"0.00";"1";;;"SIM";"N�O";;;;;;"SIM";;;;;"https://raw.githubusercontent.com/caiogasparino/get-image-products/refs/heads/main/imagens/wella-professionals-invigo-sun-shampoo-250ml/1-captura-de-tela-2023-12-01-as-16-06-04-473320de2dd468c16717014584893078-1024-1024.webp"
"sebastian-professional-hydre-shampoo-250ml";"Sebastian Professional Hydre - Shampoo 250ml";;;;;;;;"102.00";;"0.25";"0.00";"0.00";"0.00";"1";;;"SIM";"N�O";;;;;;"SIM";;;;;"https://raw.githubusercontent.com/caiogasparino/get-image-products/refs/heads/main/imagens/sebastian-professional-hydre-shampoo-250ml/1-captura-de-tela-2023-12-01-as-15-52-42-357b1f6477e986632f17014568127493-1024-1024.webp"
"wella-professionals-ultimate-repair-passo-2-condicionador-200ml";"Wella Professionals Ultimate Repair Passo 2 - Condicionador 200ml";;;;;;;;"151.00";;"0.20";"0.00";"0.00";"0.00";"3";;;"SIM";"N�O";;;;;;"SIM";;;;;"https://raw.githubusercontent.com/caiogasparino/get-image-products/refs/heads/main/imagens/wella-professionals-ultimate-repair-passo-2-condicionador-200ml/1-captura-de-tela-2023-12-01-as-15-37-41-6ab2578bf2c90476d617014560176049-1024-1024.webp"
"wella-professionals-eimi-thermal-image-protetor-termico-150ml";"Wella Professionals EIMI Thermal Image - Protetor T�rmico 150ml";;;;;;;;"125.00";;"0.15";"0.00";"0.00";"0.00";"3";;;"SIM";"N�O";;;;;;"SIM";;;;;"https://raw.githubusercontent.com/caiogasparino/get-image-products/refs/heads/main/imagens/wella-professionals-eimi-thermal-image-protetor-termico-150ml/1-captura-de-tela-2023-12-01-as-15-12-21-8e0592879c77bee4da17014543883153-1024-1024.webp"
